Year,Region,Vehicle,Distance
1993,South West,pedal_cycles,228
1993,South West,two_wheeled_motor_vehicles,289.9
1993,South West,cars_and_taxis,19674.3
1993,South West,buses_and_coaches,245
1993,South West,LGVs,2351.7
1993,South West,all_HGVs,1295.6
1993,South West,all_motor_vehicles,23856.6
1993,East Midlands,pedal_cycles,199.7
1993,East Midlands,two_wheeled_motor_vehicles,172.8
1993,East Midlands,cars_and_taxis,16200.2
1993,East Midlands,buses_and_coaches,190.1
1993,East Midlands,LGVs,2082.2
1993,East Midlands,all_HGVs,1647.1
1993,East Midlands,all_motor_vehicles,20292.4
1993,Scotland,pedal_cycles,147.3
1993,Scotland,two_wheeled_motor_vehicles,126.4
1993,Scotland,cars_and_taxis,17677.6
1993,Scotland,buses_and_coaches,334.3
1993,Scotland,LGVs,2231
1993,Scotland,all_HGVs,1339.9
1993,Scotland,all_motor_vehicles,21709.3
1993,Wales,pedal_cycles,81.7
1993,Wales,two_wheeled_motor_vehicles,104.6
1993,Wales,cars_and_taxis,11278.8
1993,Wales,buses_and_coaches,156.3
1993,Wales,LGVs,1452.7
1993,Wales,all_HGVs,735.2
1993,Wales,all_motor_vehicles,13727.6
1993,North West,pedal_cycles,251.4
1993,North West,two_wheeled_motor_vehicles,199.2
1993,North West,cars_and_taxis,23730
1993,North West,buses_and_coaches,339.8
1993,North West,LGVs,2801.8
1993,North West,all_HGVs,1834.4
1993,North West,all_motor_vehicles,28905.2
1993,London,pedal_cycles,272.1
1993,London,two_wheeled_motor_vehicles,358.2
1993,London,cars_and_taxis,15882.5
1993,London,buses_and_coaches,273.4
1993,London,LGVs,1928.6
1993,London,all_HGVs,640.9
1993,London,all_motor_vehicles,19083.5
1993,East of England,pedal_cycles,365.6
1993,East of England,two_wheeled_motor_vehicles,270.1
1993,East of England,cars_and_taxis,22996.1
1993,East of England,buses_and_coaches,254.8
1993,East of England,LGVs,2976.4
1993,East of England,all_HGVs,1741.1
1993,East of England,all_motor_vehicles,28238.4
1993,Yorkshire and the Humber,pedal_cycles,231.4
1993,Yorkshire and the Humber,two_wheeled_motor_vehicles,171.2
1993,Yorkshire and the Humber,cars_and_taxis,16876
1993,Yorkshire and the Humber,buses_and_coaches,235.9
1993,Yorkshire and the Humber,LGVs,2204.3
1993,Yorkshire and the Humber,all_HGVs,1624.3
1993,Yorkshire and the Humber,all_motor_vehicles,21111.7
1993,South East,pedal_cycles,431.7
1993,South East,two_wheeled_motor_vehicles,415.2
1993,South East,cars_and_taxis,36748.3
1993,South East,buses_and_coaches,368.7
1993,South East,LGVs,4267.1
1993,South East,all_HGVs,2035.3
1993,South East,all_motor_vehicles,43834.6
1993,West Midlands,pedal_cycles,195.7
1993,West Midlands,two_wheeled_motor_vehicles,177.4
1993,West Midlands,cars_and_taxis,20484.2
